src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
198.41.192.167,10.42.0.42,7844,58013,17,2025-07-11 08:59:08,5.784206,1700343.3141904005,1780.5382450071797,550.6373735651877,1229.9008714419922,3185,7114,222723,9612413,109,66,69.9287284144427,1.022328635957663,1417,89,1351.196654484116,233.72507147449372,1417,66,954.9602874065444,623.2300650854118,388415.7140263666,63700,142280,20,3185,0.0005616778986210915,0.023845,-2.4e-05,0.0014424739567847004,5.772167,0.054377,0.0,0.0018128665201005024,0.005409729353416935,5.768426,0.048416,1.7e-05,0.0008109694924785604,0.0038334811372989297,0,0,0,0,0,0,0,0,0,0,0,2.2335949764521192,954.9602874065444,0,0,0,0,0,0,0,0,0,0,467.5859872611465,16.764331210191084,31314.363309352517,23.946043165467625,39332.83504919886091175280821,4104356.267500482080967914860,69.9287284144427,1351.196654484116,0,3185,7114,222723,9612413
10.42.0.42,104.16.230.132,54740,443,6,2025-07-11 08:59:13,0.0099,20000.0,303.030303030303,202.020202020202,101.010101010101,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,0.00495,0.0099,0.0,0.00495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,590,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
198.41.192.167,10.42.0.42,7844,58013,17,2025-07-11 08:59:13,5.579262,1762639.7541466954,1862.0742313230676,581.4389071529532,1280.6353241701142,3244,7145,226810,9607419,76,66,69.91676942046855,0.7874492807589123,1417,95,1344.6352694191742,246.4475539595374,1417,66,946.6001540090481,625.0777708117412,390722.2195629756,64880,142900,20,3244,0.0005370802849441664,0.020563,-4.5e-05,0.0013355707953341433,5.560329,0.049921,0.0,0.0017145633672525438,0.004805911497728477,5.54268,0.046839,1.6e-05,0.0007758510638297873,0.003575946845840886,0,0,0,0,0,0,0,0,0,0,0,2.2025277435265105,946.6001540090481,0,0,0,0,0,0,0,0,0,0,401.3779069767442,14.395348837209303,24560.179190751445,18.86127167630058,38230.99747146118089297402904,4266838.120362703900437688950,69.91676942046855,1344.6352694191742,0,3244,7145,226810,9607419
10.42.0.42,198.41.192.167,58013,7844,17,2025-07-11 08:59:19,5.628386,1747501.5039835577,1850.0863302552455,1273.899835583416,576.1864946718296,7170,3243,9608831,226782,1417,101,1340.1437935843794,253.2994828230803,109,66,69.92969472710453,0.9824187457375361,1417,66,944.551330068184,624.6379929856928,390172.62228119443,143400,64860,20,7170,0.0005405623319247022,0.022326,-2.7e-05,0.001290865246405787,5.628386,0.049324,0.0,0.0007851005719068211,0.003662365732388672,5.622782,0.051733,1.4e-05,0.0017343559531153609,0.0050843188328634934,0,0,0,0,0,0,0,0,0,0,0,0.45230125523012554,944.551330068184,0,0,0,0,0,0,0,0,0,0,27551.333333333332,21.227564102564102,430.421686746988,15.421686746987952,4164183.630661433511248991171,38900.35846040602283170654158,1340.1437935843794,69.92969472710453,0,7170,3243,9608831,226782
10.42.0.42,198.41.192.167,58013,7844,17,2025-07-11 08:59:24,5.70794,1723290.0135600585,1813.088434706742,1253.5170306625507,559.5714040441911,7155,3194,9613105,223331,1417,93,1343.5506638714187,246.52787595857518,76,66,69.92204132748904,0.7908343704107132,1417,66,950.4721229104262,623.0122813834492,388144.30275461014,143100,63880,20,7155,0.0005515832044839582,0.025764,-6.9e-05,0.0013787169720147863,5.70794,0.05097,0.0,0.000797866927592955,0.003814345879369576,5.673875,0.055761,1.3e-05,0.0017769730660820548,0.005433231449710272,0,0,0,0,0,0,0,0,0,0,0,0.44640111809923133,950.4721229104262,0,0,0,0,0,0,0,0,0,0,30045.13698630137,23.085616438356166,510.7412587412587,18.3006993006993,4140661.614404845791483523356,39745.44975658388087901897808,1343.5506638714187,69.92204132748904,0,7155,3194,9613105,223331
10.42.0.42,104.16.230.132,54740,443,6,2025-07-11 08:59:28,0.012105,16356.877323420074,247.83147459727385,165.22098306484924,82.61049153242462,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,0.0060525,0.012105,0.0,0.0060525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,590,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
10.42.0.42,198.41.192.167,58013,7844,17,2025-07-11 08:59:30,6.114475,1608442.9161947675,1694.1765237407956,1168.8656834805931,525.3108402602022,7147,3212,9610352,224432,1417,97,1344.6693717643766,244.9231869962512,110,66,69.87297633872976,1.0228056951836793,1417,66,949.3951153586254,623.73067582115,389039.9559603086,142940,64240,20,7147,0.0005903011199073179,0.04371,-6.3e-05,0.0015179060242250645,6.114475,0.095883,0.0,0.0008556500139938428,0.0040461766871469065,6.079846,0.070335,8e-06,0.0018934431641233263,0.005559654468088808,0,0,0,0,0,0,0,0,0,0,0,0.4494193367846649,949.3951153586254,0,0,0,0,0,0,0,0,0,0,24611.623188405796,18.895652173913042,410.9631901840491,14.754601226993865,3962930.240655201205632945628,34877.29141414772514276431704,1344.6693717643766,69.87297633872976,0,7147,3212,9610352,224432
10.42.0.42,198.41.192.167,58013,7844,17,2025-07-11 08:59:36,5.214693,1886338.0835650347,1978.2564381067114,1365.3728033462373,612.8836347604739,7120,3196,9613124,223550,1417,88,1350.1578651685393,234.4966575070087,110,66,69.94680851063829,0.9686831969471336,1417,66,953.5356727413727,623.2205722894113,388403.88172474125,142400,63920,20,7120,0.0005055392147358216,0.021014,-2.1e-05,0.0012318301424480925,5.214693,0.047597,0.0,0.000732503581963759,0.003377305474024655,5.193677,0.045515,1.4e-05,0.001625564006259781,0.004672269878319985,0,0,0,0,0,0,0,0,0,0,0,0.44887640449438204,953.5356727413727,0,0,0,0,0,0,0,0,0,0,24696.82404692082,18.86217008797654,418.31410256410254,14.967948717948717,4391659.222616978482394235829,40541.11142173764482962134626,1350.1578651685393,69.94680851063829,0,7120,3196,9613124,223550
10.42.0.42,198.41.192.167,58013,7844,17,2025-07-11 08:59:42,4.430407,2219728.7969254293,2343.351299327579,1612.4929380077272,730.8583613198517,7144,3238,9607634,226668,1417,109,1344.8535834266518,244.14526408095912,76,66,70.00247066090179,0.657540533844244,1417,66,947.2454247736467,624.3520179893195,389815.4423673356,142880,64760,20,7144,0.0004267450149311242,0.02377,-6.9e-05,0.0009995096554315463,4.430407,0.050197,0.0,0.0006202445751084979,0.0029677423834936763,4.428724,0.053295,1e-05,0.0013681569354340442,0.004123674832959276,0,0,0,0,0,0,0,0,0,0,0,0.4532474804031355,947.2454247736467,0,0,0,0,0,0,0,0,0,0,20842.161616161615,16.007575757575758,381.95625,13.64375,5003968.739958408866308150286,44689.93900499382444758239372,1344.8535834266518,70.00247066090179,0,7144,3238,9607634,226668
10.42.0.42,104.16.230.132,54740,443,6,2025-07-11 08:59:43,0.020718,9556.907037358818,144.8016217781639,96.53441451877595,48.26720725938797,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,0.010359,0.020718,0.0,0.010359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,590,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
