src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:15,165.006228,13.078294232627389,0.06666415,0.048483018471278554,0.018181131926729457,8,3,1513,645,263,66,189.125,95.37221490035765,215,215,215,0,263,66,196.1818181818182,82.14600989791751,6747.966942148761,160,60,20,5,16.500622800000002,54.906617,0,25.13326122,165.006228,54.922897,0,23.572318285714285,27.136424439613716,110.02699999999999,55.015404,55.011596,55.01349999999999,0.001904,5,3,0,0,0,0,0,8,11,0,0,0.375,196.1818181818182,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.125,215,0,8,3,1513,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:17,164.914754,10.29622855939257,0.060637388,0.042446171917401646,0.018191216536029276,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.323861555555556,54.897954,0,25.85582331266414,164.914754,54.91054,0,27.485792333333336,27.415433361224018,110.022086,55.021322,55.000764,55.011043,0.010279000000000593,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:20,164.912505,10.29636897456624,0.060638215397916605,0.042446750778541625,0.018191464619374983,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.323611666666668,54.910478,0,25.863990306804244,164.912505,54.92249,0,27.4854175,27.42603977016382,110.021923,55.011012,55.010911,55.0109615,5.050000000039745e-05,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:23,164.900284,10.29713205345359,0.060642709,0.042449897,0.018192812815289026,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322253777777778,54.909548,0,25.86262228557742,164.900284,54.919862,0,27.483380666666665,27.423795334940532,110.007968,55.008708,54.99926,55.003984,0.004724,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:26,164.924841,11.095963403111604,0.072760416,0.042443576,0.030316839899212033,7,5,1053,777,263,66,150.42857142857142,97.48971688316253,215,66,155.4,72.99479433,263,66,152.5,88.14902155,7770.25,140,100,20,3,14.993167363636365,54.923752,0,24.232923188896294,164.924841,54.932932,0,27.487473500000004,27.084635294069525,110.021914,55.059787,0.001863,27.5054785,27.00965672596186,3,3,0,0,0,0,0,6,12,0,0,0.7142857142857143,152.5,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,155.4,0,7,5,1053,777
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:28,164.899409,10.297186692767347,0.060643031,0.042450121819417805,0.018192909351179058,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322156555555555,54.904022,0,25.855351148797247,164.899409,54.90621,0,27.48323483333333,27.40894589502961,110.034067,55.033026,55.001041,55.0170335,0.0159925,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:31,164.932024,10.29515044331233,0.060631039124336455,0.042441727,0.018189311737300935,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.325780444444447,54.926525,0,25.870132572929844,164.932024,54.930202,0,27.488670666666668,27.42830042522127,110.02443,55.024356,55.000074,55.012215,0.012140999999999735,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:34,164.89186,10.297658113626712,0.060645807500746246,0.042452065,0.018193742,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.321317777777775,54.89879,0,25.861764066309025,164.89186,54.900434,0,27.481976666666664,27.415884547530023,109.999463,55.006123,54.99334,54.9997315,0.0063915,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:37,164.878598,10.29848640513064,0.060650686,0.04245548,0.018195205662774983,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.319844222222223,54.908815,0,25.853580216140355,164.878598,54.909721,0,27.479766333333334,27.419426864516023,110.01808299999999,55.018854,54.999229,55.009041499999995,0.0098125,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:39,164.874971,10.298712956255805,0.06065202,0.042456414,0.018195605929780576,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.31944122222222,54.873673,0,25.827521338235577,164.87497100000002,54.915874,0,27.479161833333336,27.418887319223437,109.995461,55.016227,54.979234,54.9977305,0.018496500000001248,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:42,164.901553,10.297052811867696,0.060642243,0.04244957,0.018192672812487095,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322394777777777,54.852306,0,25.80867041180687,164.901553,54.924131,0,27.483592166666668,27.41450063979985,110.021391,55.041513,54.979878,55.0106955,0.030817500000001274,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:45,164.885993,10.298024526558784,0.060647965409651255,0.042453575786755876,0.018194389622895376,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.320665888888886,54.816961,0,25.796385026956862,164.88599299999998,54.911118,0,27.48099883333333,27.42062755140246,109.999457,55.00628,54.993177,54.9997285,0.0065515,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,224.0.0.251,5353,5353,17,07/10/2022 18:45,0,0,0,0,0,2,0,150,0,75,75,75,0,0,0,0,0,75,75,75,0,0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2,0,150,0
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:48,164.916282,10.296133161672904,0.060636827,0.042445779,0.018191047988821384,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.324031333333334,54.814705,0,25.790629382585852,164.916282,54.92356,0,27.486047,27.426184651040757,110.023758,55.019877,55.003881,55.011879,0.007998,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:50,164.880957,10.29833906,0.060649818,0.042454872456859895,0.018194945,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.320106333333335,54.774607,0,25.775315376057762,164.880957,54.907768,0,27.4801595,27.42041901758383,109.98226600000001,54.991722,54.990544,54.991133000000005,0.000589,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:53,164.913517,10.296305790385878,0.060637843,0.04244649,0.018191352986547487,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.32372411111111,54.79127,0,25.772528834833672,164.913517,54.927841,0,27.485586166666668,27.420063421913856,110.02179699999999,55.020775,55.001022,55.010898499999996,0.0098765,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:56,164.898,10.297274678892407,0.060643549345656106,0.042450485,0.018193065,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322,54.761968,0,25.763842558240032,164.898,54.914442,0,27.483,27.423477173477398,109.99311,55.001744,54.991366,54.996555,0.005189,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 18:59,164.899306,10.297193124633283,0.060643069,0.042450148,0.018192920714899793,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322145111111112,54.770584,0,25.75042428076668,164.899306,54.925677,0,27.483217666666665,27.41139595422477,110.01711399999999,55.029212,54.987902,55.008556999999996,0.020655000000001422,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:01,164.900194,10.297137673470536,0.060642742,0.04244992,0.018192823,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.32224377777778,54.745268,0,25.75186647276509,164.900194,54.908879,0,27.483365666666668,27.42148464193584,109.99645699999999,55.003386,54.993071,54.998228499999996,0.0051575,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:04,164.92892,10.29534420039857,0.06063218,0.042442526150053006,0.018189654,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.325435555555558,54.748193,0,25.75073765386228,164.92892,54.918984,0,27.488153333333333,27.424541517941705,110.009461,55.012999,54.996462,55.0047305,0.0082685,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:07,164.872369,10.298875489561262,0.060652976970325456,0.042457083879227815,0.018195893091097638,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.31915211111111,54.728734,0,25.737031028077656,164.87236900000002,54.900029,0,27.47872816666667,27.415025556292942,109.97875300000001,55.000722,54.978031,54.989376500000006,0.011345500000000897,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:10,164.925118,10.295581537798263,0.060633578,0.042443505,0.018190073388336152,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.32501311111111,54.745362,0,25.742737670409497,164.925118,54.927898,0,27.487519666666667,27.428181184188155,110.022368,55.021725,55.000643,55.011184,0.010541000000003464,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:12,164.910103,10.296518946446842,0.060639099,0.042447369037177794,0.01819173,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.323344777777777,54.746012,0,25.743771466225677,164.910103,54.927753,0,27.485017166666665,27.421783863170365,109.99509,55.014815,54.980275,54.997545,0.017269999999999897,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:15,164.926826,10.295474915645318,0.06063295,0.042443065,0.018189885,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.32520288888889,54.76752,0,25.75139085164267,164.926826,54.941212,0,27.487804333333333,27.428213766588076,110.02250699999999,55.030049,54.992458,55.011253499999995,0.0187955,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:18,164.905893,10.296781813612931,0.060640647,0.042448453,0.018192194,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.322877,54.741878,0,25.750140882207006,164.905893,54.912822,0,27.484315499999997,27.424905402137384,109.992797,55.000803,54.991994,54.9963985,0.0044045,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:21,164.922886,11.09609493493826,0.072761278,0.042444079,0.030317199275787594,7,5,1053,777,263,66,150.42857142857142,97.48971688316253,215,66,155.4,72.99479433,263,66,152.5,88.14902155,7770.25,140,100,20,3,14.992989636363633,54.768544,0,24.168638174944963,164.922886,54.936497,0,27.48714766666667,27.14135968249825,110.021659,55.063574,0.00102,27.50541475,27.09313675084505,3,3,0,0,0,0,0,6,12,0,0,0.7142857142857143,152.5,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,155.4,0,7,5,1053,777
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:23,164.889435,10.297809559478447,0.060646699,0.042452689585600195,0.018194009822400083,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.321048333333334,54.744225,0,25.75252961630903,164.889435,54.910733,0,27.481572500000002,27.41871820375536,109.993192,55.001318,54.991874,54.996596,0.004722,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
192.168.137.132,52.53.92.145,59435,443,6,07/10/2022 19:26,164.921467,10.295809459419857,0.060634920255711766,0.042444444,0.018190476,7,3,1053,645,263,66,150.42857142857142,97.48971688316253,215,215,215,0,263,66,169.8,86.76727493704064,7528.56,140,60,20,3,18.324607444444446,54.770901,0,25.748546221961934,164.921467,54.939427,0,27.48691116666667,27.413627595927707,110.041939,55.028842,55.013097,55.0209695,0.0078725,3,3,0,0,0,0,0,6,10,0,0,0.42857142857142855,169.8,5281,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.42857142857142,215,0,7,3,1053,645
