src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.42.0.37,10.42.0.95,40856,8800,6,2025-07-10 17:47:11,96.380291,101888.76686417143,112.15986056734359,37.49729288532652,74.66256768201707,3614,7196,239136,9580933,78,66,66.16934144991698,1.415422506654421,1494,78,1331.42481934408,328.99657954247533,1494,66,908.4245143385754,654.4671324563611,428327.22746565216,72280,143920,20,0,0.008916670459802017,0.257837,0.0,0.017198305276965035,96.266207,0.564802,0.0,0.026644397176861335,0.03624608528531971,96.380058,0.257837,5e-06,0.013395421542738014,0.022855789190365954,0,2008,0,0,0,0,0,2008,10810,0,0,1.9911455451023796,908.4245143385754,3071,2187,0,0,0,0,0,0,0,0,0,0,9105997.0,7196.0,0,94480.09462704411321271460534,66.16934144991698,1331.42481934408,0,3614,7196,239136,9580933
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:47:15,88.669038,31.431490211949743,0.23683577124181723,0.1578905141612115,0.07894525708060575,14,7,2098,689,335,66,149.85714285714286,102.16153675350002,99,97,98.42857142857143,0.9035079029052513,335,66,132.71428571428572,86.86779383317027,7546.0136054421755,280,140,20,8,4.433451900000001,39.351275,0.0,10.837838790449293,88.669038,39.351275,0.0,6.820695230769231,12.822863285719759,88.500061,39.514696,0.20165,14.750010166666668,15.632729382251567,8,7,0,0,0,0,0,15,21,0,0,0.5,132.71428571428572,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.85714285714286,98.42857142857143,0,14,7,2098,689
10.42.0.37,10.42.0.95,44986,443,6,2025-07-10 17:48:09,0.2941,14464.467868072086,98.6059163549813,44.20265215912955,54.403264195851754,13,16,2026,2228,746,66,155.84615384615384,187.62681707369848,588,54,139.25,147.32722932302772,746,54,146.68965517241378,166.80674414718533,27824.489892984544,260,320,20,4,0.010503571428571428,0.063566,0.0,0.017799283222784505,0.29272600000000004,0.150213,0.0,0.024393833333333333,0.042775246028580086,0.269737,0.074569,9e-06,0.017982466666666665,0.026391339058781303,4,7,0,0,2,3,2,11,25,0,0,1.2307692307692308,146.68965517241378,65535,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.84615384615384,139.25,0,13,16,2026,2228
10.42.0.95,10.42.0.37,8800,40856,6,2025-07-10 17:48:48,83.334707,117876.28892725334,125.97392344584593,85.22259519074088,40.751328255105044,7102,3396,9598238,224948,1494,77,1351.4838073782032,315.92510752087094,86,66,66.23910482921083,1.690917231339057,1494,66,935.7197561440274,654.9971525974021,429021.26991070446,142040,67920,20,7102,0.007938907021053633,0.265121,0.0,0.01573996724445016,83.334707,0.265121,0.0,0.011735629770454867,0.021051023026444304,83.313408,0.543507,7.2e-05,0.024540031811487485,0.03386595257841952,1710,0,0,0,0,0,0,1710,10498,0,0,0.47817516192621795,935.7197561440274,2187,3071,0,0,0,0,0,0,0,0,9128078.0,7101.0,0,0,109535.1304229101087497673688,0,1351.4838073782032,66.23910482921083,0,7102,3396,9598238,224948
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:49:05,55.338407,26.32891113038364,0.2168475865234068,0.1445650576822712,0.0722825288411356,8,4,1065,392,327,66,133.125,92.49788848941364,99,97,98.0,1.0,327,66,121.41666666666667,77.32017668255952,5978.40972222222,160,80,20,5,5.030764272727272,33.309477,0.0,10.81308007713901,55.338407,33.309477,0.0,7.905486714285714,12.689034304211622,55.171327999999995,33.477726,0.164722,18.390442666666665,13.77985003661625,5,4,0,0,0,0,0,9,12,0,0,0.5,121.41666666666667,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125,98.0,0,8,4,1065,392
10.42.0.37,10.42.0.95,45734,443,6,2025-07-10 17:49:09,0.181477,22713.622111892968,148.77918413903691,71.63442199286962,77.14476214616728,13,14,2026,2096,746,66,155.84615384615384,187.62681707369848,588,54,149.71428571428572,154.69344273268274,746,54,152.66666666666666,171.36964595737356,29367.55555555556,260,280,20,4,0.006979884615384614,0.056905,0.0,0.0137756482336011,0.181281,0.10057,0.0,0.01510675,0.027320400531242215,0.158196,0.056905,8e-06,0.012168923076923075,0.019483955728758894,4,7,0,0,2,3,2,11,23,0,0,1.0769230769230769,152.66666666666666,65535,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.84615384615384,149.71428571428572,0,13,14,2026,2096
10.42.0.37,10.42.0.95,45780,443,6,2025-07-10 17:50:09,0.320551,13336.411366678003,90.46922330611979,43.67479745812679,46.79442584799299,14,15,2104,2171,746,66,150.28571428571428,181.90987901054922,588,54,144.73333333333332,150.60565136216576,746,54,147.41379310344828,166.47781611381788,27714.86325802616,280,300,20,4,0.011448250000000002,0.07786,0.0,0.020804194148957077,0.31883300000000003,0.117981,0.0,0.02452561538461539,0.0370233976842056,0.273758,0.07786,1e-05,0.019554142857142857,0.026400311326241006,4,8,0,0,2,3,2,12,25,0,0,1.0714285714285714,147.41379310344828,65535,14280,0,0,0,0,0,0,0,0,0,0,630.0,4.0,0,9119.597000665875336556555977,150.28571428571428,144.73333333333332,0,14,15,2104,2171
10.42.0.95,10.42.0.37,8800,40856,6,2025-07-10 17:50:11,89.892527,109343.32728236687,116.69490612940496,79.89540665599489,36.799499473410066,7182,3308,9609848,219300,1494,78,1338.0462266778056,335.2517623716753,86,66,66.29383313180169,1.931285901814954,1494,66,937.0017159199238,652.7973654805686,426144.4003783711,143640,66160,20,7182,0.008570171322337687,0.22094,0.0,0.01700828618999312,89.892527,0.22094,0.0,0.012518107088149284,0.022204121802563318,89.886241,0.469148,6.1e-05,0.027180599032355608,0.0375315095010737,1805,0,0,0,0,0,0,1805,10490,0,0,0.4605959342801448,937.0017159199238,2187,3071,0,0,0,0,0,0,0,0,9134408.0,7181.0,0,0,101614.7649292359975596191661,0,1338.0462266778056,66.29383313180169,0,7182,3308,9609848,219300
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:50:13,42.944003,21.539678077984483,0.1630029692388015,0.11643069231342965,0.04657227692537186,5,2,729,196,250,66,145.8,85.82866653979893,99,97,98.0,1.0,250,66,132.14285714285714,75.6862481780231,5728.408163265305,100,40,20,3,7.157333833333333,42.583373,0.0,15.843155069931635,42.944003,42.583373,0.0,10.73600075,18.387237584174688,0,0,0,0,0,3,2,0,0,0,0,0,5,7,0,0,0.4,132.14285714285714,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.8,98.0,0,5,2,729,196
10.42.0.37,10.42.0.95,48358,443,6,2025-07-10 17:51:10,0.163805,24358.230823234942,152.6204938799182,67.153017307164,85.46747657275418,11,14,1894,2096,746,66,172.1818181818182,199.67465272825382,588,54,149.71428571428572,154.69344273268274,746,54,159.6,176.26116985882058,31067.999999999996,220,280,20,4,0.006825208333333335,0.050336,0.0,0.012672328219323547,0.162775,0.09297,0.0,0.0162775,0.02771622345576684,0.163357,0.050336,1e-05,0.012565923076923079,0.017943342611425717,4,7,0,0,2,3,2,11,21,0,0,1.2727272727272727,159.6,65535,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.1818181818182,149.71428571428572,0,11,14,1894,2096
